ID,Title,Author,Date,Votes,Tags
40071,Disable animation opening new tab,,2019-09-09T19:27:39.860Z,3,ANIMATIONS,1,26
40119,Vivaldi SystemWebView,,2019-09-10T09:54:05.006Z,3,,3,115
40173,Separate default Private and Regular search engines,,2019-09-11T05:42:27.974Z,3,SEARCH ENGINES,1,24
40245,Extension's & option to change BG,,2019-09-12T09:04:51.002Z,3,,2,73
40319,Separate Notes from phone app  for easier direct access,,2019-09-13T05:23:39.741Z,3,NOTES,4,71
40350,Translation feature,,2019-09-13T14:42:46.626Z,3,,1,75
40488,Synchronise site settings,,2019-09-17T04:24:21.662Z,3,,4,73
40803,insert from note,,2019-09-24T04:19:03.738Z,3,,2,39
41156,Extended (more finegrained) startpage settings,,2019-10-04T08:52:18.260Z,3,,1,34
42940,[Android] keep tap on tab  will open a new tab,,2019-12-22T06:39:39.443Z,3,,6,74
45592,Tab sliding switch can cycle,,2020-04-10T00:38:23.958Z,3,,1,16
31065,Make it easier to integrate mobile version with third-party software,,2018-10-09T21:12:12.635Z,2,MOBILE:ANDROID:INTEGRATION:THIRD-PARTY:TASKER,2,344
31070,Use mobile instance for two-factor authentication,,2018-10-09T21:36:07.243Z,2,SECURITY:MOBILE:2FA,1,310
35336,Developer Tools (Inspect),,2019-03-09T05:32:11.875Z,1,MOBILE:DEVELOPER TOOLS,1,193
37717,Access to history from all devices with grouping,,2019-05-27T18:33:43.886Z,2,SYNC:HISTORY,8,289
37768,Built-in video player with scrolling function with download gestures  etc.,,2019-05-29T21:05:46.890Z,2,,4,188
40093,Fast forward button on mobile,,2019-09-10T00:36:43.748Z,2,,5,59
40135,Separate Widget for opening Private Browser Window,,2019-09-10T15:07:04.448Z,2,,1,25
40162,The reading mode is not started by default.,,2019-09-11T02:53:19.500Z,2,READER VIEW,1,20
40344,Image control,,2019-09-13T13:56:59.330Z,2,,2,43
40557,Search Feature like Firefox about Using Other Search Engine,,2019-09-18T14:07:40.578Z,2,,4,124
40989,Choose the folder of a new bookmark,,2019-09-29T05:15:37.610Z,2,,3,50
41166,Search widget opacity,,2019-10-04T15:16:25.948Z,2,,3,29
42069,Different ways to order your bookmarks,,2019-11-10T13:16:40.905Z,2,,1,40
42209,Disable search predictions,,2019-11-16T22:57:58.774Z,2,,4,46
42434,Make "tap to search" work with any search engine,,2019-11-29T08:30:30.165Z,2,,1,26
42529,Google search with AMP disabled (direct links),,2019-12-05T09:51:38.704Z,2,,2,49
42544,More intuitive UI for Android (suggestion),,2019-12-05T23:50:29.424Z,2,,4,135
42712,Scrollable open tabs in the form of cards,,2019-12-13T14:28:00.550Z,2,,2,36
43136,Chromecast compatibility,,2019-12-30T16:27:39.286Z,2,,1,29
43325,Ui Requests.,,2020-01-08T21:53:31.218Z,2,,2,49
43466,Tab switcher one row and home button,,2020-01-14T18:28:59.556Z,2,,1,20
44317,Autoclose SD Tabs,,2020-02-19T12:01:04.719Z,2,,7,37
44444,Option for displaying individual tabs as apps in androids native app switcher,,2020-02-25T00:07:36.149Z,2,,1,15
44546,Open all links and other sites in 1 (same) tab,,2020-02-29T10:44:20.811Z,2,,1,29
44885,Added time sorting filter for notes,,2020-03-13T18:48:17.617Z,2,,2,17
45134,Privacy window allows features that affect user experience,,2020-03-22T18:15:42.104Z,2,,5,53
45472,Moving the Vivaldi button for easier access,,2020-04-05T06:20:07.849Z,2,,4,47
33873,Captive Portal Detection,,2019-01-17T09:59:16.258Z,1,MOBILE,2,250
36631,Respect system wide font size settings,,2019-04-17T12:21:05.534Z,1,,2,121
37611,The mobile keyboard application from Vivaldi,,2019-05-23T09:50:57.571Z,1,MOBILE:KEYBOARD,1,167
37643,Built-in choice of page/text translator,,2019-05-24T12:27:07.052Z,1,MOBILE:TRANSLATION,1,150
38432,Vivaldi Mobile for KaiOS,,2019-06-25T18:42:37.653Z,1,,2,147
40083,Too many taps to open bookmark/dial in the new tab,,2019-09-09T21:05:26.566Z,1,USER INTERFACE,1,41
40104,Option to set bookmark bar folder,,2019-09-10T06:43:13.405Z,1,BOOKMARKS,4,43
40166,Provide an option to turn off the notification bar to turn off all private tabs,,2019-09-11T03:01:21.412Z,1,TABS:PRIVACY:NOTIFICATIONS,2,25
40169,Show and highlight URL on address bar tap,,2019-09-11T04:12:12.539Z,1,,2,141
40172,More Payment Options,,2019-09-11T05:34:21.686Z,1,,1,29
40189,Option to disable direct download.,,2019-09-11T11:08:53.862Z,1,DOWNLOADS,1,25
40244,Read-only mode for browsing notes,,2019-09-12T08:59:54.176Z,1,,1,48
40396,Share function not yet everywhere,,2019-09-14T17:39:42.452Z,1,,2,43
40452,Make browsing experience same as Vivaldi for PC,,2019-09-16T10:00:05.602Z,1,,3,84
40731,Add separate "edit mode" for Speed Dial,,2019-09-22T07:32:45.647Z,1,,1,30
40758,zoom override option,,2019-09-23T07:16:14.214Z,1,,2,39
40794,Double tap to quick-close tabs in tab overview,,2019-09-23T20:05:51.457Z,1,,3,41
41271,*https everywhere* as a built-in flag,,2019-10-09T12:43:41.909Z,1,,7,180
41335,Speed reader (/Speed reading) function for Simplified view,,2019-10-12T12:48:23.249Z,1,,1,71
41558,Option to focus address bar and show keyboard on new tab,,2019-10-22T05:39:43.332Z,1,,1,18
41614,Making Vivaldi browser Android TV compatible,,2019-10-24T15:22:15.193Z,1,,2,82
41745,Slide to seek on videos,,2019-10-31T12:28:47.100Z,1,,1,23
