ID,Title,Author,Date,Votes,Tags
32175,Per-panel Option to Open Links in a New Tab,dalinar,2018-11-13T05:48:13.552Z,4,PANELS:NEW TAB:LINKS,4,451
32309,Group Web Panels in Folders,Hadden89,2018-11-17T15:13:01.962Z,4,PANELS,1,241
36731,Make the sidebar not pop up when pressing keybinds,dannyswift,2019-04-21T13:14:03.631Z,4,SHORTCUTS:PANELS,2,173
41104,Allow changing checkbox state in a note when in view mode,potmeklecbohdan,2019-10-02T20:35:53.192Z,4,,1,31
41751,Auto-close floating panel after a set period of time,AltCode,2019-10-31T14:06:47.188Z,4,,1,35
41921,Make focused webpanel more visible in panel (for dark themes),stardepp,2019-11-05T15:12:44.648Z,4,ACCESSIBILITY:PANEL:UI DESIGN:A11Y,17,124
45515,Alarm clock pop-up with sound,matvey-nt,2020-04-06T15:43:31.755Z,4,,1,23
47035,Side Panel for Timer,RubenR,2020-05-15T19:07:41.539Z,4,,1,15
27250,Display Web Panel Dimensions,tomliv,2018-05-07T17:12:21.154Z,3,PANELS,2,526
24524,Toggle to hide/show the last used panel  and not the sidebar,nimanyu,2018-02-02T09:59:50.686Z,3,PANELS:GUI:TOGGLE PANEL,4,906
27055,Show Remote Windows and Tabs in the Windows Panel,alexander.gorbovets,2018-04-29T14:49:36.805Z,3,PANEL:WINDOWS PANEL,2,631
25185,Open History Panel Items with Single Click,CheVe11e_191,2018-02-18T09:23:10.628Z,3,HISTORY PANEL:SINGLE-CLICK,7,654
26243,Modifier Key + Click to open Panel in New Tab,LonM,2018-03-27T15:17:15.964Z,3,SHORTCUTS:PANELS:NEW TAB,4,677
29927,Put a "Clear Private Data" button in the History panel,zook,2018-09-10T02:04:56.582Z,2,HISTORY PANEL:CLEAR:PRIVATE DATA,7,417
32402,Annotate Webpages and Show in Notes,Darkmatter,2018-11-21T06:25:08.346Z,3,PANELS:NOTES:WEBPAGES,9,736
36653,Option to have cookies private to a panel.,jasonw749,2019-04-18T11:42:28.841Z,3,PANELS:COOKIES:WEB PANELS,2,163
39725,Better distinction of headlines in the www and history panel,Gregor,2019-08-27T20:57:49.077Z,3,HISTORY:HISTORY PANEL,7,107
45541,A Store for Panels,EvilSpark,2020-04-07T15:38:31.038Z,3,,3,52
27962,Hide Web Panels when their Extension (ID) is Disabled,Hadden89,2018-06-12T18:13:51.146Z,2,EXTENSION:PANELS,2,586
27541,Option To Replace Hide/Show Panels with Panel Toggles,Ouroboros4545,2018-05-20T23:41:53.996Z,2,PANELS:GUI,1,597
25190,Option to always show image info panel when available,CheVe11e_191,2018-02-18T09:50:12.609Z,2,PANELS:IMAGE,1,646
29658,Full Side Panel,bogensbergerb,2018-08-28T22:50:50.567Z,2,PANELS,10,1008
32477,Show last [...] days in history,Hadden89,2018-11-23T16:01:56.693Z,2,PANELS:HISTORY,3,370
32954,Notes with Automatically Added Addresses,Gregor,2018-12-11T21:50:53.167Z,2,NOTES:TAB:URL,1,241
33699,Automatically restart stopped downloads,EmeraldSlash,2019-01-09T00:48:42.643Z,2,DOWNLOADS,2,279
34052,More Functionality for Web Panels,otto,2019-01-23T18:00:07.411Z,2,PANELS:CUSTOMIZE,3,497
34262,Set Web Panels Context (Regular or Private) Independently of Parent Window,nihal,2019-02-01T18:03:46.030Z,1,PANELS:PRIVATE WINDOW,3,287
35688,Option to move the side panel to the bottom,asdf2345,2019-03-21T21:26:20.638Z,2,PANELS:DOWNLOADS,3,277
35949,Access 2 different accounts of WhatsApp  Messenger  among others  in the same panel.,thiagosouza,2019-03-28T17:32:26.917Z,1,WHATSAPP:COOKIES,5,223
36033,Scroll to marked history entry when emptying the history search field,west-sidebar,2019-03-31T03:03:21.613Z,2,PANELS:HISTORY:HISTORY SEARCH,1,156
37507,Built-in music playback panel.,MattSolo45,2019-05-19T07:02:10.933Z,2,PANELS:AUDIO:MUSIC,9,329
37776,Open a page in web-panel via context menu and button on toolbar,maxtao,2019-05-30T07:33:02.212Z,2,SHORTCUTS:PANELS:LINKS:WEB PANELS,6,233
38505,Downloads button,snadge,2019-06-27T16:25:16.387Z,2,,7,277
40250,"Remote tabs" panel,ROTFL,2019-09-12T09:20:08.715Z,2,PANELS:SYNC,1,30
40928,reduce minimum width of panels,adacom,2019-09-27T09:28:15.043Z,2,,11,227
41922,Make webpanels appear in history,stardepp,2019-11-05T15:16:42.681Z,2,,3,34
43092,Option to show Panel Toggle on mouse hover,Stardust,2019-12-28T10:14:18.993Z,2,,3,58
43445,Improved Vivaldi Notes,Mr.Schell,2020-01-13T16:20:32.830Z,2,,1,36
45343,Sidebar width lock,MargiaviciusK,2020-03-31T01:53:07.930Z,2,,1,33
24606,Option to merge window panel/tab bar (and suggestions),Hadden89,2018-02-03T04:54:44.349Z,1,TABS:PANELS,4,744
27790,Open In option for All Panel Entries,LonM,2018-06-01T11:39:36.124Z,1,PANELS:CONTEXT MENU,2,607
24815,Dark Panels (only panels),NicolasBarsimanto,2018-02-07T14:45:31.989Z,1,PANELS:GUI:DARK,1,513
25685,Panels: Activation Semantics Instead of Toggling,VoodooPriest,2018-03-06T07:41:50.838Z,1,SHORTCUTS:PANELS,1,444
29925,Remove Trash from Bookmarks Panel,zook,2018-09-10T01:49:35.085Z,1,BOOKMARKS PANEL:TRASHCAN,8,570
29926,Move the "Add Web Panel" button from the sidebar into its context menu.,zook,2018-09-10T01:53:49.968Z,1,CONTEXT MENU,9,660
30325,Option to Position Panels on Top,huguesmoisy,2018-09-25T11:18:03.486Z,1,PANELS:POSITION,18,1117
31088,Add support for javascript.addsidebar(),vishstampede,2018-10-10T13:20:29.421Z,1,PANELS:JAVASCRIPT,6,443
31525,Add Pin Button on Top of Each Panel,mmassaer,2018-10-22T19:54:32.537Z,1,PANELS:BUTTON:FLOATING,4,405
32522,Keep Bookmark Folder Expanded after Using Find in Bookmarks Panel,BerndS,2018-11-25T11:57:03.085Z,1,PANELS:SEARCH:BOOKMARK FOLDER:BOOKMARKS PANEL,5,534
32965,Popup a Specific Note,yes.aravind,2018-12-12T08:54:55.818Z,1,PANELS:NOTES:POPUP,2,317
33015,Ability to Drag and Drop Tabs between Windows via the Window Panels,TreyHarris,2018-12-13T21:39:40.974Z,1,TABS:WINDOWS PANEL:MOVING,6,399
33967,Mark Web Panels as Bookmarks,ShaSha,2019-01-20T12:03:55.307Z,1,BOOKMARKS:PANELS,2,305
34236,Use 'data:text/html  <html contenteditable>' as a Web Panel,RagondinGumbo,2019-01-31T20:52:55.406Z,1,,7,512
34844,Auto show/hide panels,bithst,2019-02-20T13:52:02.855Z,1,AUTO-HIDE,2,151
38117,redirect notes panel to local directory,mivanit,2019-06-13T18:51:09.996Z,1,NOTES,2,115
38814,Open new panel by clicking link with Shift press.,kusokuzeshiki,2019-07-13T01:25:21.740Z,1,SHORTCUTS:LINKS:WEB PANELS,4,159
41293,Download animation,hnagashima,2019-10-10T10:11:30.955Z,1,,1,34
41578,Separate profiles for web panels,DannyRomano,2019-10-22T21:31:50.598Z,1,,2,35
42148,One instance of a web-panel over multiple browser windows,krisr,2019-11-14T08:17:41.779Z,1,,1,26
45428,Multimedia panel for fast play/pause video/music on a Tab,BIOLorenz,2020-04-03T12:57:47.937Z,1,,4,34
46729,Monochrome Icons,otto,2020-05-07T00:24:26.503Z,1,,2,36
46787,Two New Gestures And/Or Keyboard Shortcuts For Working With Notes Panel,459083,2020-05-08T04:38:01.734Z,1,,2,14
27625,Auto-close Bookmarks Option,Jack9,2018-05-24T15:53:33.948Z,0,PANELS:AUTO-HIDE,6,1462
26220,Add "Copy to Note" in Web Panels,ozoratsubasa,2018-03-27T02:33:38.864Z,0,PANELS:NOTES:CONTEXT MENU,6,1163
25274,Panels in Windows or Tabs?,rojaviv,2018-02-20T14:13:07.306Z,0,TABS:PANELS,3,687
29750,Tags for Long Notes,vydas,2018-09-02T22:14:29.246Z,0,PANELS:NOTES:TAGS,2,426
31576,Task Tracker Panel,Awpii,2018-10-24T14:03:24.624Z,0,PANELS,5,451
31815,Only Show Notes for Active Tab,nmcguire722,2018-10-30T12:14:04.717Z,0,PANELS:NOTES:ACTIVE TABS,1,347
33541,Move Extension On/Off Button to the Left,steveshank,2019-01-02T00:29:14.934Z,0,EXTENSION:PANELS,5,597
34050,More intuitive panel settings for show/hide.,tommytom2k2,2019-01-23T17:50:35.056Z,0,,6,219
34249,Copy to Notes Expandable Menu,SVGuss,2019-02-01T12:35:07.103Z,0,PANELS:NOTES:COPY,3,273
34849,Cleaner Downloads panel  please?,Darthagnon,2019-02-20T15:26:18.240Z,0,DOWNLOADS:BUTTONS:CLEANUP:APPEARANCE,2,236
35194,Video Screenshot In Notes.,Almaazon,2019-03-05T02:54:25.303Z,0,NOTES:SCREENSHOT,1,210
36131,Maintain position and folders folded/unfolded preferences in history panel when opening an history entry,l0f4r0,2019-04-02T13:43:58.455Z,0,HISTORY LIST,1,104
36172,Remove all button on Download Panel please,vkyf,2019-04-03T09:58:29.809Z,0,DOWNLOADS,1,155
36807,Side Panel Refresh Hot Key,dalinar,2019-04-24T14:13:14.772Z,0,SHORTCUTS:PANELS:WEB PANELS:REFRESH PAGE,7,243
37716,Add button on status bar to toggle "autoclose inactive panels" and "floating panel",SmoothMarx,2019-05-27T17:20:14.447Z,0,,2,166
38599,Option to disable navigating to last viewed tab in Tab Stack when opening/minimising Tab Stacks within the Window Pane,ergusto,2019-07-02T21:12:37.573Z,0,TABS:TAB STACKS,4,109
41938,Open panel with double-click,ankor,2019-11-05T21:52:03.017Z,0,,8,92
42891,Option to move side panel items beside the search bar and remove the side panel,Crimzon,2019-12-20T13:11:47.674Z,0,,3,35
43689,Copy/Paste Images Into Notes,Sillvva,2020-01-24T20:24:51.708Z,0,,3,19
43780,Panel Button to Toggle Status Bar,davidbwaters,2020-01-28T07:48:47.805Z,0,,2,29
43904,Full options in Window tab,Eadorimthryth,2020-02-02T22:25:20.936Z,0,,2,25
44538,Making calls and saving files from Web Panel,iusan,2020-02-28T19:27:10.333Z,0,,4,51
45912,Direct identification of Vivaldi instance in UI,ns20a1,2020-04-21T13:06:01.094Z,0,,3,51
46328,Lock panel width,ecabaj86,2020-04-27T12:53:08.561Z,0,,3,36
46503,Put custom icon on the status bar which you can click on and it executes a custom command (like a keyboard shortcut).,sboti99,2020-04-30T16:08:14.455Z,0,,2,18
46561,Easy way to switch scripting on/off,Toontje,2020-05-02T10:48:24.001Z,0,,1,20
46669,Full Individual settings for panels - would be great.,redirect303,2020-05-05T10:49:36.206Z,0,,2,16
46973,Option For News To Be Shown In Startpage ?,techguy88,2020-05-13T17:10:45.113Z,0,,3,33
