ID,Title,Author,Date,Votes,Tags
33225,New Tabs Should Open at the Top/Left,fabioromeo,2018-12-19T12:23:21.423Z,0,TABS:NEW TAB:TAB BAR
33264,Sort Tabs by Alphabetical Order,HyperPete,2018-12-20T12:55:20.678Z,0,TABS:SORT
33169,Make Tab-stack Tab Selector More Distinctive,Gregor,2018-12-17T22:35:33.297Z,3,TABS:TAB STACKS:SELECTION
33106,Add Visual Indicator for Tiled Tabs,LiorL,2018-12-15T23:39:58.124Z,2,TABS:TILED TABS
28859,Option to Dim the Title Text for Inactive Tabs,TsunamiZ,2018-07-21T20:39:40.614Z,4,THEMES:TAB BAR
32963,Optional Functions for Double-click on Tab,Gregor,2018-12-12T05:36:43.184Z,4,TABS:DOUBLE-CLICK
32996,Allow to save single tab as a session from tab bar without "selecting" it,ROTFL,2018-12-13T10:46:31.856Z,1,TABS:SESSIONS
32983,Clone Tab from Normal Window to Private Window,AltCode,2018-12-12T21:43:44.568Z,1,TABS:PRIVATE WINDOW:CLONE TAB
30731,Rename "Clone Tab" to "Duplicate Tab",DannyRomano,2018-10-01T20:43:03.434Z,14,TABS:CLONE TAB
32950,Clone Tab in Background,Gregor,2018-12-11T21:23:43.096Z,3,TAB:BACKGROUND TAB:CLONE TAB
32968,Option to Open Session Replacing Current Tabs,iurum,2018-12-12T09:52:31.748Z,1,TABS:SESSIONS
32952,Show Extender Menu if Tabs do not Fit the Tab Bar,Gregor,2018-12-11T21:39:19.418Z,5,TABS:TAB BAR:BUTTON
32953,Scrolling List in Recently Closed Tabs Menu,Gregor,2018-12-11T21:44:35.880Z,0,TABS:SCROLLING:MENU:CLOSED TABS
32932,Use Tab Selection Shortcuts to Select Tabs in a Stack,TheDuck,2018-12-11T14:44:25.848Z,3,TABS:SHORTCUTS:TAB STACKS
32921,Save a Tab Stack to a Speed Dial Folder,richter03,2018-12-11T09:24:55.528Z,2,SPEED DIAL:TAB STACKS:BOOKMARK FOLDER
32948,Opening new page using Start Page,Gregor,2018-12-11T20:58:35.237Z,1,TABS:START PAGE:OPENING
32922,Add "Close all Tabs" to Tab submenu,KlausB,2018-12-11T09:48:21.695Z,1,TABS:CONTEXT MENU:CLOSE TABS
32839,New tab position: "unparent" a tab,brliron,2018-12-08T09:28:00.321Z,1,TABS:NEW TAB
32144,Option to Remove Mute/Unmute Icon from Tabs,sventhebarbarian,2018-11-11T23:54:17.533Z,2,TABS:ICONS:MUTE
32850,New Tab Button Position Options,dracho,2018-12-08T21:51:15.540Z,0,NEW TAB:BUTTON
29835,A Shortcut to Force Links to Open in the Current Tab,kivagant,2018-09-06T15:27:55.610Z,7,TABS:SHORTCUTS:LINKS
32829,End Current Tab Process Shortcut,metafaniel,2018-12-07T19:08:05.889Z,0,TABS:SHORTCUTS:END PROCESS
32813,Different ways of Switching Tabs for Different ways of Activating the Switcher,killchain,2018-12-07T10:16:00.940Z,0,TABS:SHORTCUTS:TAB CYCLING
32750,Tabs and bookmarks - why not create Tabmarks.,svenna,2018-12-05T16:17:20.674Z,0,TABS:BOOKMARKS
32733,Page Tiling Options under Stacked Tabs or in the Address Bar,hordosikrisztian,2018-12-05T07:22:11.396Z,1,TABS:TILING
